"epoch","loss","lr","part","step","time","accuracy","auprc","auroc","challenge_metric","f_beta_measure","f_measure","g_beta_measure"
0.0,0.39704492688179016,8.000730236035311e-05,"train",20.0,"2021-11-22 06:54:29.864307","","","","","","",""
0.0,0.1808898001909256,8.002920933031948e-05,"train",40.0,"2021-11-22 06:54:35.262327","","","","","","",""
0.0,0.13700512051582336,8.006572057662293e-05,"train",60.0,"2021-11-22 06:54:39.919101","","","","","","",""
0.0,0.1507384479045868,8.011683554380914e-05,"train",80.0,"2021-11-22 06:54:44.649902","","","","","","",""
0.0,0.12038420140743256,8.018255345425274e-05,"train",100.0,"2021-11-22 06:54:49.364683","","","","","","",""
0.0,0.12299701571464539,8.026287330817079e-05,"train",120.0,"2021-11-22 06:54:54.035515","","","","","","",""
0.0,0.14329025149345398,8.03577938836373e-05,"train",140.0,"2021-11-22 06:54:59.235830","","","","","","",""
0.0,0.11376478523015976,8.04673137366021e-05,"train",160.0,"2021-11-22 06:55:03.935642","","","","","","",""
0.0,0.12817071378231049,8.059143120091187e-05,"train",180.0,"2021-11-22 06:55:08.755396","","","","","","",""
0.0,0.1238299161195755,8.073014438833613e-05,"train",200.0,"2021-11-22 06:55:13.452873","","","","","","",""
0.0,0.1272605061531067,8.088345118859724e-05,"train",220.0,"2021-11-22 06:55:18.148241","","","","","","",""
0.0,0.12709391117095947,8.10513492693996e-05,"train",240.0,"2021-11-22 06:55:23.289314","","","","","","",""
0.0,0.12000463902950287,8.123383607646804e-05,"train",260.0,"2021-11-22 06:55:27.976292","","","","","","",""
0.0,0.1177741065621376,8.143090883358495e-05,"train",280.0,"2021-11-22 06:55:32.595277","","","","","","",""
0.0,0.1119416356086731,8.164256454263295e-05,"train",300.0,"2021-11-22 06:55:37.276767","","","","","","",""
0.0,0.11738357692956924,8.186879998364088e-05,"train",320.0,"2021-11-22 06:55:41.943916","","","","","","",""
0.0,0.108253613114357,8.210961171483213e-05,"train",340.0,"2021-11-22 06:55:47.310105","","","","","","",""
0.0,0.12957943975925446,8.236499607267717e-05,"train",360.0,"2021-11-22 06:55:51.923080","","","","","","",""
0.0,0.10634949803352356,8.26349491719505e-05,"train",380.0,"2021-11-22 06:55:56.630817","","","","","","",""
0.0,0.10274141281843185,8.291946690578713e-05,"train",400.0,"2021-11-22 06:56:01.283120","","","","","","",""
0.0,0.12525144219398499,8.321854494574774e-05,"train",420.0,"2021-11-22 06:56:06.064021","","","","","","",""
0.0,0.10486730933189392,8.353217874188293e-05,"train",440.0,"2021-11-22 06:56:11.502398","","","","","","",""
0.0,0.12972891330718994,8.38603635228035e-05,"train",460.0,"2021-11-22 06:56:16.278395","","","","","","",""
0.0,0.09945908933877945,8.420309429575212e-05,"train",480.0,"2021-11-22 06:56:21.101427","","","","","","",""
0.0,0.10942703485488892,8.456036584667914e-05,"train",500.0,"2021-11-22 06:56:25.912585","","","","","","",""
0.0,0.08820651471614838,8.493217274032315e-05,"train",520.0,"2021-11-22 06:56:30.607300","","","","","","",""
0.0,0.10539577901363373,8.531850932029235e-05,"train",540.0,"2021-11-22 06:56:35.828195","","","","","","",""
0.0,0.11731091141700745,8.571936970915212e-05,"train",560.0,"2021-11-22 06:56:40.470310","","","","","","",""
0.0,0.1028769388794899,8.613474780851246e-05,"train",580.0,"2021-11-22 06:56:45.211128","","","","","","",""
0.0,0.11153333634138107,8.656463729912224e-05,"train",600.0,"2021-11-22 06:56:49.980777","","","","","","",""
0.0,0.1034887433052063,8.700903164096468e-05,"train",620.0,"2021-11-22 06:56:54.711309","","","","","","",""
0.0,0.08856293559074402,8.746792407335769e-05,"train",640.0,"2021-11-22 06:57:00.104282","","","","","","",""
0.0,0.1114763543009758,8.794130761505497e-05,"train",660.0,"2021-11-22 06:57:04.945145","","","","","","",""
0.0,0.07843747735023499,8.842917506435462e-05,"train",680.0,"2021-11-22 06:57:09.589271","","","","","","",""
0.0,0.09622783213853836,8.893151899920645e-05,"train",700.0,"2021-11-22 06:57:14.270069","","","","","","",""
0.0,0.08057335764169693,8.944833177732632e-05,"train",720.0,"2021-11-22 06:57:19.081632","","","","","","",""
0.0,0.09192631393671036,8.997960553631186e-05,"train",740.0,"2021-11-22 06:57:24.480149","","","","","","",""
0.0,0.09565752744674683,9.052533219376224e-05,"train",760.0,"2021-11-22 06:57:29.167449","","","","","","",""
0.0,0.11018569022417068,9.108550344740104e-05,"train",780.0,"2021-11-22 06:57:33.776103","","","","","","",""
0.0,0.08232656866312027,9.166011077520208e-05,"train",800.0,"2021-11-22 06:57:38.348911","","","","","","",""
0.0,0.09664011001586914,9.224914543552059e-05,"train",820.0,"2021-11-22 06:57:42.981687","","","","","","",""
0.0,0.0832124724984169,9.285259846722417e-05,"train",840.0,"2021-11-22 06:57:48.224967","","","","","","",""
0.0,0.09942511469125748,9.34704606898307e-05,"train",860.0,"2021-11-22 06:57:53.121214","","","","","","",""
0.0,0.0910768061876297,9.410272270364735e-05,"train",880.0,"2021-11-22 06:57:58.034075","","","","","","",""
